Time (min),C (md.ft),Inj. P (psi)
1105.01,93.66,21
1106.01,94.78,20.8
1107.01,95.36,21
1108.01,95.66,21
1109.01,95.51,21
1110.01,95.78,21
1111.01,95.96,21
1112.01,95.26,20.8
1113.01,94.71,20.8
1114.01,95.17,21
1115.01,96.97,20.8
1116.01,94.33,21
1117.01,94.51,20.8
1118.01,96.04,20.8
1119.01,93.69,21
1120.01,95.26,20.8
1121.01,95.2,20.8
1122.01,95.57,21
1123.01,94.36,21
1124.01,95.76,20.8
1125.01,94.57,20.8
1126.01,95.95,20.8
1127.01,94.04,21
1128.01,94.28,21
1129.01,96.16,21
1130.01,93.51,20.8
1131.01,94.48,20.8
1132.01,94.1,21
1133.01,92.73,20.8
1134.01,94.01,21
1135.01,93.36,21
1136.01,95.39,20.8
1137.01,93.67,21
1138.01,95.53,21
1139.01,94.18,20.8
1140.01,94.07,21
1141.01,95.18,20.6
1142.01,95.82,20.8
1143.01,92.57,20.6
1144.01,95.58,20.6
1145.01,94.88,20.6
1146.01,93.45,20.6
1147.01,93.6,20.6
1148.01,94.27,20.8
1149.01,95.65,20.6
1150.01,93.37,20.6
1151.01,94.29,20.6
1152.01,94.12,20.6
1153.01,94.59,20.6
1154.01,93.35,20.6
1155.01,94.23,20.6
1156.01,96.69,20.6
1157.01,94.81,20.6
1158.01,94.97,20.4
1159.01,97.31,20.6
1160.01,95.76,20.6
1161.01,95.12,20.6
1162.01,95.89,20.6
1163.01,95.45,20.4
1164.01,95.87,20.4
1165.01,97.19,20.4
1166.01,95.74,20.4
1167.01,96.17,20.4
1168.01,94.11,20.4
1169.01,95.81,20.4
1170.01,95.46,20.4
1171.01,96.47,20.4
1172.01,96.44,20.6
1173.01,96.07,20.4
1174.01,94.86,20.4
1175.01,95.69,20.4
1176.01,93.57,20.4
1177.01,95.55,20.4
1178.01,94.32,20.4
1179.01,94.15,20.4
1180.01,95.32,20.4
1181.01,94.62,20.4
1182.01,96.01,20.4
1183.01,95.14,20.4
1184.01,94.93,20.4
1185.01,94.16,20.4
